col,icn,sql
AgencyName,Agency Name,",[AgencyName] [NVARCHAR](4000) NULL"
SystemName,System Name,",[SystemName] [NVARCHAR](4000) NULL"
FISMASystemID,FISMA System ID,",[FISMASystemID] [NVARCHAR](4000) NULL"
FIPS199SystemCategorization,FIPS 199 System Categorization,",[FIPS199SystemCategorization] INT NULL"
HighValueAssetID,High Value Asset ID,",[HighValueAssetID] [NVARCHAR](4000) NULL"
CryptoModuleName,Cryptographic Module Name,",[CryptoModuleName] [NVARCHAR](4000) NULL"
CryptoAlgorithmUsed,Cryptographic Algorithm Used,",[CryptoAlgorithmUsed] INT NULL"
ServiceProvidedByCryptoModule,Service Provided By Cryptographic Module,",[ServiceProvidedByCryptoModule] [NVARCHAR](4000) NULL"
LengthCryptoKeysModules,Length of associated cryptographic keys or modules,",[LengthCryptoKeysModules] [NVARCHAR](4000) NULL"
SoftwarePackageType,Software Package Type (COTS/GOTS/NDI/Other),",[SoftwarePackageType] INT NULL"
NameofVendorDev,Name of Vendor/Developer,",[NameofVendorDev] [NVARCHAR](4000) NULL"
SoftwarePackageNames,Software Package Name(s) (if commercial or open source); if unknown input 'N/A',",[SoftwarePackageNames] [NVARCHAR](4000) NULL"
SoftwarePackageVersions,Software Package Version(s) (optional),",[SoftwarePackageVersions] [NVARCHAR](4000) NULL"
OperatingSystem,Operating System (including Major and Minor version),",[OperatingSystem] [NVARCHAR](4000) NULL"
HostingInfo,Hosting Information,",[HostingInfo] INT NULL"
CloudServiceProviders,Cloud Service Providers,",[CloudServiceProviders] INT NULL"
GovernmentCloudProviders,Government Cloud Providers,",[GovernmentCloudProviders] INT NULL"
HybridCloudProviders,Hybrid Cloud Providers,",[HybridCloudProviders] INT NULL"
EstFY2025BudgetReqsforFed,Estimate of FY 2025 Budget Requirements for Federal Workforce ($K)*,",[EstFY2025BudgetReqsforFed] [NVARCHAR](4000) NULL"
EstFY2025BudgetReqsforCon,Estimate of FY 2025 Budget Requirements for Contractors ($K)*,",[EstFY2025BudgetReqsforCon] [NVARCHAR](4000) NULL"
EstFY2025BudgetReqsforSytemsInv,Estimate of FY 2025 Budget Requirements for Sytems/Investments ($K)*,",[EstFY2025BudgetReqsforSytemsInv] [NVARCHAR](4000) NULL"
EstTotalBudgetReqFY2025ReqforFed,"Estimate of Total Budget Requirement, which includes FY 2025 Requirement for Federal Workforce ($K)*",",[EstTotalBudgetReqFY2025ReqforFed] [NVARCHAR](4000) NULL"
EstTotalBudgetReqFY2025ReqforCon,"Estimate of Total Budget Requirement, which includes FY 2025 Requirement for Contractors  ($K)*",",[EstTotalBudgetReqFY2025ReqforCon] [NVARCHAR](4000) NULL"
EstTotalBudgetReqFY2025ReqforSytemsInv,"Estimate of Total Budget Requirement, which includes FY 2025 Requirement for Sytems/Investments ($K)*",",[EstTotalBudgetReqFY2025ReqforSytemsInv] [NVARCHAR](4000) NULL"
ProjectedSystemRefreshYear,Projected System Refresh Year,",[ProjectedSystemRefreshYear] [NVARCHAR](4000) NULL"
CrosscuttingCosts,Crosscutting Costs,",[CrosscuttingCosts] [NVARCHAR](4000) NULL"
AdditionalNotes,Additional Notes,",[AdditionalNotes] [NVARCHAR](4000) NULL"
